Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/PhoKO_1.bam	Fly/RNA_seq/PhoKO_2.bam	Fly/RNA_seq/PhoKO_3.bam	
tRNA:Ile-AAT-1-9	0	0	0	0	0	0	
tRNA:iMet-CAT-1-1	0	0	0	0	0	0	
tRNA:iMet-CAT-1-2	0	0	0	0	0	0	
tRNA:Glu-TTC-1-4	0	1	0	0	0	0	
snoRNA:185	3	0	2	0	0	2	
tRNA:Glu-TTC-1-5	0	0	0	0	0	0	
tRNA:Glu-TTC-1-6	0	0	0	0	0	0	
tRNA:Glu-CTC-2-1	0	0	0	0	0	0	
tRNA:Glu-CTC-2-2	0	0	0	0	0	0	
tRNA:Glu-CTC-5-1Psi	0	0	0	0	0	0	
5SrRNA:CR33452	0	0	0	0	0	0	
5SrRNA:CR33451	0	0	0	0	0	0	
5SrRNA:CR33450	0	0	0	0	0	0	
5SrRNA:CR33449	0	0	0	0	0	0	
5SrRNA:CR33448	0	0	0	0	0	0	
5SrRNA:CR33447	0	0	0	0	0	0	
5SrRNA:CR33446	0	0	0	0	0	0	
5SrRNA:CR33445	0	0	0	0	0	0	
5SrRNA:CR33444	0	0	0	0	0	0	
5SrRNA:CR33443	0	0	0	0	0	0	
5SrRNA:CR33442	0	0	0	0	0	0	
5SrRNA:CR33441	0	0	0	0	0	0	
5SrRNA:CR33440	0	0	0	0	0	0	
5SrRNA:CR33439	0	0	0	0	0	0	
5SrRNA:CR33438	0	0	0	0	0	0	
5SrRNA:CR33437	0	0	0	0	0	0	
5SrRNA:CR33436	0	0	0	0	0	0	
5SrRNA:CR33435	0	0	0	0	0	0	
5SrRNA:CR33434	0	0	0	0	0	0	
5SrRNA:CR33433	0	0	0	0	0	0	
5SrRNA:CR33432	0	0	0	0	0	0	
5SrRNA:CR33431	0	0	0	0	0	0	
5SrRNA:CR33430	0	0	0	0	0	0	
5SrRNA:CR33429	0	0	0	0	0	0	
5SrRNA:CR33428	0	0	0	0	0	0	
5SrRNA:CR33427	0	0	0	0	0	0	
5SrRNA:CR33426	0	0	0	0	0	0	
5SrRNA:CR33425	0	0	0	0	0	0	
5SrRNA:CR33424	0	0	0	0	0	0	
5SrRNA:CR33423	0	0	0	0	0	0	
5SrRNA:CR33422	0	0	0	0	0	0	
5SrRNA:CR33421	0	0	0	0	0	0	
5SrRNA:CR33420	0	0	0	0	0	0	
5SrRNA:CR33419	0	0	0	0	0	0	
5SrRNA:CR33418	0	0	0	0	0	0	
5SrRNA:CR33417	0	0	0	0	0	0	
5SrRNA-Psi:CR33416	0	0	0	0	0	0	
5SrRNA:CR33415	0	0	0	0	0	0	
5SrRNA:CR33414	0	0	0	0	0	0	
5SrRNA:CR33413	0	0	0	0	0	0	
5SrRNA:CR33412	0	0	0	0	0	0	
5SrRNA:CR33411	0	0	0	0	0	0	
5SrRNA:CR33410	0	0	0	0	0	0	
5SrRNA:CR33409	0	0	0	0	0	0	
5SrRNA:CR33408	0	0	0	0	0	0	
5SrRNA:CR33407	0	0	0	0	0	0	
5SrRNA:CR33406	0	0	0	0	0	0	
5SrRNA:CR33405	0	0	0	0	0	0	
5SrRNA:CR33404	0	0	0	0	0	0	
5SrRNA:CR33403	0	0	0	0	0	0	
5SrRNA:CR33402	0	0	0	0	0	0	
5SrRNA:CR33401	0	0	0	0	0	0	
5SrRNA:CR33400	0	0	0	0	0	0	
5SrRNA:CR33399	0	0	0	0	0	0	
5SrRNA:CR33398	0	0	0	0	0	0	
5SrRNA:CR33397	0	0	0	0	0	0	
5SrRNA:CR33396	0	0	0	0	0	0	
5SrRNA:CR33395	0	0	0	0	0	0	
5SrRNA:CR33394	0	0	0	0	0	0	
5SrRNA:CR33393	0	0	0	0	0	0	
5SrRNA:CR33392	0	0	0	0	0	0	
5SrRNA:CR33391	0	0	0	0	0	0	
5SrRNA:CR33390	0	0	0	0	0	0	
5SrRNA:CR33389	0	0	0	0	0	0	
5SrRNA:CR33388	0	0	0	0	0	0	
5SrRNA:CR33387	0	0	0	0	0	0	
5SrRNA:CR33386	0	0	0	0	0	0	
5SrRNA:CR33385	0	0	0	0	0	0	
5SrRNA:CR33384	0	0	0	0	0	0	
5SrRNA:CR33383	0	0	0	0	0	0	
5SrRNA:CR33382	0	0	0	0	0	0	
5SrRNA:CR33381	0	0	0	0	0	0	
5SrRNA:CR33380	0	0	0	0	0	0	
5SrRNA:CR33379	0	0	0	0	0	0	
5SrRNA:CR33378	0	0	0	0	0	0	
5SrRNA:CR33377	0	0	0	0	0	0	
5SrRNA:CR33376	0	0	0	0	0	0	
5SrRNA:CR33375	0	0	0	0	0	0	
5SrRNA:CR33374	0	0	0	0	0	0	
5SrRNA:CR33373	0	0	0	0	0	0	
5SrRNA:CR33372	0	0	0	0	0	0	
5SrRNA-Psi:CR33371	0	0	0	0	0	0	
5SrRNA:CR33370	0	0	0	0	0	0	
5SrRNA:CR33369	0	0	0	0	0	0	
5SrRNA:CR33368	0	0	0	0	0	0	
5SrRNA:CR33367	0	0	0	0	0	0	
5SrRNA:CR33366	0	0	0	0	0	0	
5SrRNA:CR33365	0	0	0	0	0	0	
5SrRNA:CR33364	0	0	0	0	0	0	
5SrRNA-Psi:CR33363	0	0	0	0	0	0	
5SrRNA:CR33362	0	0	0	0	0	0	
5SrRNA:CR33361	0	0	0	0	0	0	
5SrRNA:CR33360	0	0	0	0	0	0	
5SrRNA:CR33359	0	0	0	0	0	0	
5SrRNA:CR33358	0	0	0	0	0	0	
5SrRNA:CR33357	0	0	0	0	0	0	
5SrRNA-Psi:CR33356	0	0	0	0	0	0	
5SrRNA:CR33355	0	0	0	0	0	0	
5SrRNA:CR33354	0	0	0	0	0	0	
5SrRNA:CR33353	0	0	0	0	0	0	
Or56a	1	1	0	0	1	2	
Obp56g	1	0	0	0	1	1	
lncRNA:CR45231	2	5	0	0	1	3	
tRNA:Lys-CTT-1-11	0	0	0	0	0	0	
Obp56h	12	2	1	3	34	11	
Toll-7	13773	13252	8568	8533	13996	12084	
CG44569	5	2	2	8	4	4	
lncRNA:CR44570	0	0	0	0	0	0	
lncRNA:CR44571	0	2	0	0	0	1	
Obp56i	7	3	1	2	2	10	
lncRNA:CR44460	0	0	0	0	0	0	
CG13872	1	1	2	2	1	3	
lncRNA:CR44572	0	0	0	0	0	0	
lncRNA:CR44573	2	2	2	1	1	0	
lncRNA:CR44626	1	0	0	0	0	0	
lncRNA:CR44627	4	11	4	4	10	9	
lncRNA:CR43421	0	0	0	0	1	0	
CG43195	0	0	0	0	0	0	
CG42690	0	0	0	0	0	0	
CG42691	0	0	0	0	0	0	
CG30447	5	0	1	1	1	1	
CG10822	1	0	1	0	1	2	
CG44622	0	0	1	0	2	0	
CG44623	0	1	0	0	0	0	
CG8654	149	104	69	87	128	182	
tRNA:Arg-CCT-1-2	0	0	0	0	0	0	
tRNA:Arg-CCT-1-3	0	0	0	0	0	0	
CG16898	6	1	3	1	1	6	
lncRNA:CR44628	0	0	0	0	0	0	
lncRNA:CR44629	0	0	0	0	0	0	
lncRNA:CR44630	0	1	0	0	0	0	
lncRNA:CR44631	0	0	0	0	0	0	
lncRNA:CR44632	2	8	2	0	1	2	
lncRNA:CR44633	0	0	0	0	3	0	
18w	11256	12078	6760	6833	12849	10885	
lncRNA:CR44634	0	0	0	0	0	1	
lncRNA:CR44635	1	1	2	1	2	4	
lncRNA:CR44636	3	1	2	1	2	1	
CG11041	2	0	1	5	3	0	
lncRNA:CR45229	0	0	0	0	0	0	
CG16894	15	23	8	8	9	10	
lncRNA:CR45423	0	0	0	0	0	0	
tRNA:Gly-GCC-1-10	0	0	0	0	0	0	
CG11044	0	1	1	3	0	0	
tRNA:Gly-GCC-1-11	0	0	0	0	0	0	
CG44624	0	0	0	0	0	2	
CG44625	0	1	0	3	3	4	
CG11099	0	0	0	1	0	0	
CG13869	0	0	0	2	1	3	
Efhc1.2	47	47	19	28	34	47	
CG11208	6100	6167	3116	3738	5256	4962	
ppk6	1	0	0	1	1	0	
CG9864	91	73	99	40	67	26	
Ate1	2554	2389	1477	1546	2370	2109	
Hsl	3145	3080	1896	1949	3102	2773	
PCNA	10100	9248	5773	6738	10039	9148	
plu	0	1	0	0	0	0	
RpS18	75538	71359	40606	46754	71545	65468	
asRNA:CR43812	0	1	0	1	0	0	
CG8908	143	157	124	43	62	108	
CG10444	1531	1399	893	1002	1473	1061	
CG11788	667	597	355	497	622	506	
CG9143	1870	1851	1092	1326	1952	1793	
Mpcp1	68	51	26	243	47	16	
CG16868	4198	4291	2554	2602	4000	3748	
CG34199	1	1	3	3	11	3	
Cpr56F	76	34	15	16	23	20	
CkIIbeta2	1	1	0	0	1	0	
lncRNA:CR44638	1	3	1	0	3	2	
lncRNA:CR44639	0	0	0	0	0	0	
lncRNA:CR44640	0	1	0	3	0	2	
lncRNA:CR44641	0	0	0	0	0	1	
CG11200	1747	1816	1163	878	1438	1376	
CG13868	2901	2789	1675	1950	2449	2310	
lncRNA:CR44642	9	8	3	6	12	3	
CG13871	3	6	4	4	5	1	
tapas	4256	4169	2569	2732	4114	3819	
MED8	1574	1603	879	994	1385	1324	
CG8929	12453	12201	6921	7163	11724	10646	
CG16739	7	10	6	5	3	8	
CG13870	0	2	1	2	2	6	
CG16741	0	0	0	0	2	0	
CG11192	3	6	2	0	2	2	
side-VIII	1429	1233	870	933	1250	1076	
lncRNA:CR44643	0	0	0	0	0	0	
Obp57c	0	0	0	0	0	0	
Obp57b	0	0	0	0	0	0	
Obp57a	0	0	0	0	0	0	
lncRNA:CR44644	0	0	0	0	0	0	
lncRNA:CR44645	0	0	0	0	0	0	
lncRNA:CR44646	0	0	0	0	0	0	
lncRNA:CR44647	0	0	0	0	0	0	
lncRNA:CR44648	0	0	0	0	0	0	
lncRNA:CR44649	0	0	0	0	0	0	
CG13426	0	2	0	0	0	0	
lncRNA:CR44650	0	0	0	1	0	0	
GNBP-like3	1	0	0	0	1	0	
CG30151	6	1	5	7	6	10	
lncRNA:CR44651	0	0	0	0	1	0	
CG30154	134	154	65	56	103	73	
CG18067	518	744	287	285	221	477	
CG13423	0	0	0	0	0	0	
CG13427	0	0	0	0	0	0	
CG13428	1	1	0	0	0	0	
lncRNA:CR44652	0	0	0	0	0	0	
CG30148	71	122	48	181	478	163	
Obp57e	3	4	0	1	1	1	
Obp57d	0	0	0	0	0	0	
Cpr57A	0	0	0	0	0	0	
CG13430	0	0	0	0	0	0	
CG18065	0	0	0	0	0	0	
lms	61	72	36	13	53	52	
Mgat1	1312	1303	839	859	1265	1075	
asRNA:CR44653	0	0	0	0	0	0	
CG43308	1	2	2	0	1	2	
qsm	6196	6097	3165	3257	5926	4973	
mir-310	0	0	0	0	0	0	
mir-311	0	0	0	0	0	0	
mir-312	0	0	0	0	0	0	
mir-313	0	0	0	0	0	0	
mir-2498	0	0	0	0	0	0	
mir-991	0	0	0	0	0	0	
mir-992	0	0	0	0	0	0	
Nnf1a	1232	1188	746	773	1175	1067	
HnRNP-K	17858	17689	10521	10526	16431	15448	
mir-7	17	8	9	8	14	7	
Hil	2463	2379	1497	1478	2502	2154	
CG9945	1386	1290	741	932	1420	1309	
CG11180	1365	1364	956	947	1580	1256	
FAM21	1291	1334	922	802	1396	1057	
Rcd6	523	592	284	253	455	396	
rig	5771	5613	3454	3650	5563	4879	
CG13436	193	226	157	115	187	197	
maf-S	2065	1968	1330	1172	1854	1675	
CG11110	262	258	118	192	255	217	
CG33785	0	0	0	0	0	0	
CG33786	0	0	0	0	0	0	
DMAP1	2689	2686	1446	1868	2846	2604	
Lrt	1319	1182	713	994	1490	1244	
CG16799	128	184	75	78	90	108	
CG11159	6	7	5	10	13	6	
tRNA:Trp-CCA-1-1	0	0	0	0	0	1	
tRNA:Trp-CCA-1-2	0	0	0	0	0	0	
CG13437	29	18	9	27	31	20	
Fem-1	2644	2456	1566	1622	2612	2280	
exu	193	202	135	93	168	143	
galla-1	966	1180	633	750	1076	1038	
Gr57a	1	0	0	0	0	0	
lncRNA:CR44659	0	0	0	0	0	0	
CG13438	0	0	1	0	1	1	
dpr1	656	604	432	496	623	486	
lncRNA:CR44660	0	2	1	0	0	1	
CG13442	0	1	1	2	4	0	
CG34201	1	2	1	1	0	2	
CG34202	0	0	1	0	0	0	
lncRNA:CR44665	0	0	0	0	0	0	
CG13443	0	0	1	0	0	2	
CG43709	2	1	2	3	2	2	
CG43710	0	0	0	0	0	0	
CG43711	2	0	1	0	0	1	
lncRNA:CR44666	1	0	1	0	1	1	
CG43666	0	0	0	0	0	0	
CG43667	0	0	0	0	0	0	
CG43677	0	0	0	0	0	0	
CG43668	0	0	0	1	0	0	
CG15225	0	0	3	0	2	2	
insc	777	846	494	781	1136	938	
sktl	4709	5093	2935	2954	5986	4459	
lncRNA:CR44667	0	4	1	0	3	2	
CG17999	2	1	2	0	3	1	
CG9993	54	42	24	56	41	39	
CG15227	1	0	0	1	1	0	
IM4	1	1	0	1	3	11	
IM14	0	0	0	0	1	0	
Ipk1	1349	1232	833	715	1083	994	
Cib2	63	63	57	22	43	46	
otp	415	353	249	284	383	299	
asRNA:CR43160	0	0	0	0	0	0	
CG9235	1	1	0	0	2	1	
Rx	522	477	300	412	586	413	
Act57B	7461	7867	4557	12364	8442	4467	
snoRNA:660	0	0	0	0	0	0	
CG33704	0	1	0	0	1	0	
hbn	616	679	389	459	658	628	
CG15649	0	3	1	1	3	1	
CG34115	0	1	0	0	1	0	
CG9344	1619	1566	899	961	1498	1343	
CG15650	38	30	15	16	26	13	
CG9313	13	19	9	15	18	15	
CG15651	421	322	219	282	328	280	
CG3216	86	47	42	60	80	66	
dgt3	1248	1217	784	729	1132	1055	
Prosalpha3	9698	9781	5276	6217	9358	8498	
CG10543	5112	4954	3063	3435	5432	4701	
CG30291	2281	2334	1284	1578	2204	2009	
grau	1454	1583	894	942	1490	1223	
CG9346	2923	2942	1869	1892	2823	2571	
CG3295	2722	2931	1462	1697	2531	2269	
RIC-3	1421	1298	985	1014	1350	1175	
ND-B14.7	2576	2281	1459	1671	2237	1968	
lncRNA:CR45148	4	5	3	3	10	8	
shg	22199	24823	12864	14020	24917	22122	
cpa	6769	7721	4000	4418	7027	6438	
CG15653	209	159	138	138	176	157	
mRpL54	562	564	355	364	588	452	
Cht8	4	12	7	11	11	9	
Cht12	2	2	4	1	1	5	
Cht4	92	1	2	1	5	7	
Cht9	66	2	2	1	1	1	
asRNA:CR44703	0	0	0	0	1	0	
CG10527	932	1059	611	839	1080	726	
asRNA:CR44704	4	3	5	4	5	6	
Treh	5492	4519	3263	3306	5651	4207	
Rbpn-5	2247	2306	1312	1419	2199	1950	
CG34396	31	23	23	50	46	33	
CG4038	3183	2933	1758	1902	2917	2751	
ktub	409	364	257	365	518	431	
CG9394	153	113	60	54	62	45	
Tmtc3	6105	5891	3428	3565	5433	4726	
mago	3828	3777	2192	2758	4505	3845	
Magi	4172	4053	2343	2621	4041	3892	
CG9406	4	4	2	0	2	3	
Xbp1	16350	17667	8466	10788	16873	14554	
Hmg-2	651	684	382	415	601	551	
CG15657	47	58	22	21	34	27	
CG30389	8025	7873	4663	4994	8058	7098	
tRNA:Trp-CCA-2-3	0	0	0	0	0	0	
tRNA:Gly-GCC-1-12	0	0	0	0	0	0	
tRNA:Trp-CCA-2-4	0	0	0	1	0	0	
CG4266	9595	9418	5530	5861	9215	8064	
hng1	801	732	436	537	792	687	
LSm1	1151	1076	709	811	1172	1047	
Xpd	2993	2835	1633	2009	3108	2759	
Pu	1189	1110	698	857	1283	1113	
CG4286	1	3	0	0	6	1	
tRNA:Trp-CCA-2-5	0	0	0	0	0	0	
tRNA:Trp-CCA-2-6	0	0	0	2	1	0	
tRNA:Gly-GCC-1-13	1	0	0	0	0	0	
tud	22018	22635	17617	15472	25711	21536	
Lapsyn	413	438	279	294	465	399	
CG44245	1522	1352	1024	1064	1560	972	
Gyg	3309	3136	2166	2447	4005	3329	
CG4302	53	77	21	41	40	72	
CG15661	13	13	6	42	19	23	
ASPP	6228	6259	3650	4131	6845	6425	
Rgk3	190	164	115	133	198	136	
CG30391	2	0	0	0	0	0	
CG30393	1	2	0	1	2	0	
CG34203	1	0	0	0	1	0	
MFS16	2536	2723	1462	1681	2736	2266	
CG10505	22	43	8	27	10	20	
CG30392	1296	1321	709	620	960	853	
Sgf29	729	696	434	498	757	703	
RpL29	33838	31441	21116	23220	34843	30406	
CG9752	1664	1542	1062	1453	1880	1632	
CG42672	3094	3141	1865	2015	3325	2887	
asRNA:CR44724	8	4	1	0	4	3	
asRNA:CR45149	1	6	4	4	8	8	
Panx	1206	1231	745	739	1165	923	
CG9485	735	715	499	659	790	641	
CG33655	1	7	2	2	1	1	
CG30394	1783	1813	1333	1309	1967	1479	
dom	37620	38053	23510	26227	41190	36026	
snoRNA:Me28S-A2589a	0	0	1	0	0	0	
snoRNA:Psi28S-3316a	11	8	3	7	4	4	
snoRNA:Psi28S-3316b	5	4	6	6	6	10	
snoRNA:Psi18S-841a	8	12	15	12	17	14	
snoRNA:Me28S-A2589b	0	0	0	0	1	1	
snoRNA:Psi28S-3378	0	2	0	1	2	2	
snoRNA:Psi28S-3316c	0	0	0	0	0	0	
snoRNA:Psi18S-841b	0	1	0	0	0	0	
snoRNA:Psi28S-3316d	1	1	1	1	0	3	
snoRNA:Psi18S-841c	0	2	0	0	0	1	
snoRNA:Psi28S-3316e	2	2	2	1	3	1	
snoRNA:Psi18S-841d	4	4	1	4	3	2	
snoRNA:Me28S-A2589c	0	0	1	2	1	0	
snoRNA:Psi18S-1389a	0	1	2	2	4	1	
snoRNA:Psi18S-1389b	0	0	0	0	2	5	
snoRNA:Me28S-G2596	0	0	0	0	0	0	
snmRNA:184	0	0	0	0	0	0	
CG15666	12	13	3	6	5	9	
CG9822	126	47	1	61	379	136	
CG17974	3	0	0	42	9	8	
cv-2	2253	2144	1241	1252	1993	1689	
CG10795	644	650	355	405	649	570	
eEFSec	378	393	222	235	357	274	
Acox57D-p	617	637	384	455	746	677	
Acox57D-d	98	84	70	112	61	92	
Sdc	16391	17318	9827	9184	16773	15618	
Sara	3628	3512	2173	2395	3706	3245	
Fkbp14	9978	11327	4040	6068	10173	8597	
TAF1C-like	1048	994	642	848	1201	1103	
MESK2	5910	5688	3518	3779	5535	5204	
CG10494	502	488	320	303	458	402	
CG30288	18	64	8	4	6	24	
CG30289	9	33	5	11	4	7	
Egfr	17829	18277	10744	9823	16847	14689	
lncRNA:CR44725	1	4	0	1	2	1	
CG30286	15	47	5	12	14	9	
CG30287	9	17	5	17	402	18	
CG33226	8	18	9	9	26	24	
CG30283	81	66	59	185	241	116	
twz	6994	8018	3915	3232	5358	4976	
CG30222	7	0	3	1	5	7	
CG33225	81	101	38	26	77	51	
lncRNA:CR45150	0	0	0	0	0	0	
CG10433	672	484	314	443	521	381	
asRNA:CR43243	1	0	0	1	1	0	
CG15673	44	37	18	40	81	76	
CG18870	775	699	443	483	719	629	
clt	1093	1123	653	619	1012	946	
PTP-ER	3220	3109	1960	2010	3186	2898	
mahj	6646	6322	4035	3932	6006	5609	
asRNA:CR42547	243	231	173	145	261	224	
CG15674	57	47	36	29	62	46	
CG10321	4557	4299	2568	2867	4353	4003	
CG10082	6850	7054	4539	4118	6467	5833	
CG30284	16	12	13	11	26	22	
asRNA:CR43786	0	0	0	0	0	0	
ND-B12	2352	2163	1242	1646	2326	1994	
Rae1	2943	2727	1642	1994	2706	2601	
pirk	88	116	174	112	323	51	
lncRNA:CR44748	2	4	1	7	10	4	
CG42363	0	0	0	0	0	0	
CG42362	0	0	0	0	0	0	
CG42364	4	2	1	1	4	3	
CG42365	271	197	130	145	209	211	
CG42381	0	0	0	0	0	0	
PIG-M	0	0	0	0	0	0	
CG42379	0	0	0	0	0	0	
CG42380	0	0	0	0	0	0	
NC2alpha	1586	1544	836	997	1467	1308	
CG15676	2	2	1	2	0	0	
stum	124	132	54	28	34	22	
eIF3k	7777	7813	4374	5456	8592	7514	
Tbp	1644	1677	970	1073	1698	1385	
CG30285	67	60	41	93	145	84	
CG10307	81	70	53	52	74	69	
CG42497	0	0	0	0	0	0	
Tim10	0	0	0	0	0	0	
Ppcdc	0	0	0	0	0	0	
CG42496	0	0	0	0	0	0	
CngB	1048	957	548	629	865	688	
HmgZ	17962	18983	11103	13258	20366	19634	
HmgD	80091	79557	50944	51815	82654	75668	
lncRNA:CR44749	75	76	46	45	70	82	
CG30403	766	718	423	494	744	601	
Tango11	3443	3507	2148	2329	3449	3023	
CG30398	74	58	25	49	85	60	
LBR	6836	6889	3876	5205	7393	6523	
lncRNA:CR44750	0	0	0	0	0	0	
Grx1t	0	2	0	0	0	0	
lncRNA:CR43983	0	0	0	0	0	0	
CG43982	0	0	0	0	0	0	
lncRNA:CR43984	0	0	0	0	0	0	
CG30395	3	0	1	1	2	0	
CG4021	0	4	0	0	5	0	
Loxl2	1	0	0	0	1	1	
CG34204	0	0	0	0	0	0	
CG18735	6	1	4	8	8	5	
CG4386	336	392	167	163	363	306	
lncRNA:CR9284	0	3	0	1	6	0	
CG13492	10	2	6	463	2	45	
CG34040	0	0	0	0	0	0	
CG4363	19	6	1	6	7	9	
CG4377	11	4	0	0	1	0	
CG4372	0	0	0	0	0	0	
tRNA:Gly-TCC-2-1	0	0	0	0	0	0	
tRNA:Gly-TCC-2-2	0	0	0	0	0	0	
CG9294	0	2	2	6	3	0	
comr	3	0	0	0	1	0	
Fili	7116	7557	4188	3972	7274	6250	
PpN58A	1	0	1	0	0	2	
CG43742	14	15	5	8	9	11	
CG13488	4	9	3	2	7	8	
lncRNA:CR43405	1	1	1	2	0	0	
CG13494	0	0	0	0	0	0	
ppk9	13	6	4	11	20	7	
CG34029	0	0	0	0	1	2	
CG9304	2053	2111	1322	1306	2172	1972	
Gr58c	0	0	0	1	0	0	
Gr58b	0	0	0	0	0	0	
Gr58a	0	0	0	0	0	0	
dany	1	1	0	3	9	6	
CG34370	1741	1524	1045	973	1362	1172	
CG9308	0	1	0	0	0	0	
PpD5	0	2	0	0	1	0	
CG13500	3	6	3	2	1	0	
CG13501	0	1	0	0	3	0	
Snp	2956	3109	1679	1838	3171	2565	
CG44249	195	201	130	152	198	180	
CG11475	50	56	43	9	17	15	
CG11474	822	1089	432	536	804	853	
CG2921	1190	1195	724	795	1139	1075	
GlcT	1345	1312	825	1000	1330	1182	
Synj	2891	2644	1600	1670	2775	2358	
CG13502	22	24	10	15	22	14	
CG43393	0	1	0	0	0	0	
CG44163	8	11	5	8	4	3	
CG11073	978	1086	746	982	1511	1424	
CG6613	1187	1141	730	792	1326	1139	
Vrp1	2477	2609	1566	1741	2714	2329	
CG30280	6	11	10	2	4	3	
CG30281	4	10	5	1	6	8	
mei-S332	918	845	547	720	1005	899	
GM130	2384	2724	1649	1445	2241	2009	
NtR	864	863	485	512	799	551	
CG34205	4	10	3	2	3	2	
a	2588	2836	1447	1709	3195	2497	
CG11269	1	0	2	1	0	1	
gom	19	15	3	16	13	21	
CG34206	7	18	2	9	25	50	
CG3045	1001	905	591	658	965	927	
CG6758	418	370	255	234	380	343	
asRNA:CR45151	0	0	0	0	0	0	
CG11170	581	576	335	387	642	544	
CG11275	5864	4923	3424	3172	4663	4319	
MED16	1577	1510	863	1176	1628	1487	
Vps35	7032	7344	4197	4487	7050	6310	
Swim	4267	3128	2530	2482	4052	3110	
snoRNA:Or-CD1	0	0	1	0	1	2	
asRNA:CR45376	0	1	0	0	0	2	
CG3292	2	1	0	37	19	10	
Alp2	0	0	0	0	2	2	
CG3264	0	7	5	43	1	18	
CG11291	0	0	0	0	0	0	
ari-2	4218	4662	2685	2722	4246	4105	
CG30278	0	3	0	1	2	0	
Oatp58Da	1	8	0	4	0	5	
Oatp58Db	0	1	0	6	3	1	
Oatp58Dc	381	297	258	393	403	387	
lncRNA:CR44755	0	0	0	0	0	0	
dve	4708	4919	2750	2437	4037	3416	
lncRNA:CR43422	0	0	0	0	0	0	
CG5819	13	50	22	20	4	67	
wdp	4133	3522	2590	2858	4137	3413	
lncRNA:CR44758	2	0	1	1	1	1	
Gp150	39438	42022	27289	24139	40119	36023	
lncRNA:CR44756	39	42	30	25	33	25	
CG34207	6	5	5	6	8	3	
T3dh	312	288	187	143	241	184	
pgc	1	3	1	3	3	6	
CG34208	2	2	0	0	2	0	
Liprin-gamma	3765	3249	2330	3011	4089	3521	
CG11298	0	6	1	3	8	5	
lncRNA:CR44759	2	0	0	0	1	2	
Rtf1	4134	4454	2574	2852	4501	4082	
lncRNA:CR45327	10	18	12	10	18	13	
wrapper	2793	2275	1583	2128	2503	2198	
CG13506	3427	3287	2336	2430	3568	3251	
lncRNA:CR44757	2	3	1	2	5	1	
babos	3874	3964	2009	2015	3221	2819	
lncRNA:CR44760	2	8	7	0	1	7	
CG6044	998	1135	614	768	1299	1143	
VepD	148	216	137	141	226	224	
qkr58E-3	5038	5287	3035	2972	4964	4476	
Mes4	610	586	432	441	679	555	
qkr58E-1	5232	5268	3130	3168	5136	4761	
qkr58E-2	3702	3722	2149	2055	3426	2983	
asRNA:CR45152	0	0	0	0	0	0	
mRpS29	1722	1611	940	1060	1563	1433	
rad50	2512	2167	1749	1911	3168	2622	
CG10344	113	98	56	101	154	120	
ppk12	2	6	3	6	7	3	
CG10384	557	439	374	315	367	373	
CG45062	0	2	0	1	0	0	
CG45063	0	0	0	0	0	0	
CG4752	111	139	47	187	142	179	
CG4554	3682	3538	2216	2764	4178	3407	
CG4610	694	624	423	507	775	598	
px	7314	7535	4546	5171	8024	6848	
gas	68	53	38	42	76	52	
CG11362	3	8	4	1	5	3	
dnr1	1146	1125	636	630	1045	941	
CG3927	1	3	2	3	0	2	
lncRNA:CR45328	0	0	0	0	0	0	
CG4269	72	193	20	61	26	162	
CG4294	5431	5220	3790	3488	5457	4901	
RpS16	66737	60765	38210	44268	60894	52627	
snoRNA:Me28S-G2173	18	10	7	5	19	19	
snoRNA:Psi28S-1175a	22	28	16	5	28	36	
snoRNA:Psi28S-1175b	29	22	13	8	18	14	
snoRNA:Psi28S-1175c	29	20	11	8	34	24	
snoRNA:Or-aca1	35	25	26	19	30	19	
Vps20	1428	1343	768	859	1297	1151	
CG4329	41	29	14	27	40	35	
CG33143	385	248	235	248	369	313	
CG17807	1143	1004	734	674	978	885	
Cdk9	1607	1642	940	1063	1575	1346	
bonsai	1476	1504	906	880	1321	1184	
CG3732	3412	3255	2019	2202	3355	3056	
RpS24	60951	58196	37080	43248	62343	53916	
Ugt58Fa	922	808	612	552	829	684	
CG2852	63122	68160	33366	40956	64755	59078	
CG30195	72	65	40	83	125	89	
CG34446	74	51	31	64	77	56	
CG34445	102	81	57	195	209	160	
CG3746	13	14	11	30	29	10	
nsr	4	2	0	0	0	2	
Cyp6d2	111	147	78	39	35	54	
CG30196	83	64	40	68	59	44	
CG43325	0	1	0	1	0	0	
CG43326	0	0	0	0	0	0	
asRNA:CR45268	0	0	0	0	0	0	
CG13510	0	0	0	0	0	0	
CG13511	0	0	0	0	0	0	
CG42565	0	0	0	0	0	0	
CG42566	1057	1310	720	577	874	482	
CG4250	1794	1833	825	680	975	804	
CG42867	32	35	18	14	34	13	
lncRNA:CR45269	7	17	8	1	6	6	
lncRNA:CR42868	3	6	2	0	2	3	
CG30273	0	0	0	0	0	0	
CG30269	0	0	0	0	0	0	
CG13516	334	349	292	228	373	319	
RYBP	2549	2743	1661	1694	2642	2319	
lncRNA:CR44761	11	11	9	12	8	6	
Ppa	12682	13252	7623	6758	12308	10843	
lncRNA:CR44762	3	4	4	1	3	2	
lncRNA:CR44763	25	12	14	0	10	10	
lncRNA:CR44764	71	67	34	24	28	36	
