Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/SppsKO_1.bam	Fly/RNA_seq/SppsKO_2.bam	Fly/RNA_seq/SppsKO_3.bam	Fly/RNA_seq/SppsKO_4.bam	
lncRNA:CR45236	0	0	0	0	0	0	0	
olf413	9734	10172	6242	11092	9017	10108	7457	
lncRNA:CR45971	1	2	1	0	2	1	1	
lncRNA:CR45972	2	1	0	1	0	0	0	
lncRNA:CR45035	0	0	0	0	0	0	0	
Rich	3758	4037	2299	4033	3435	3922	3283	
Ddx1	4527	4490	2380	5014	4281	4951	4274	
CG11523	990	1022	579	1031	844	997	886	
Csp	9054	9177	5780	10174	8614	10324	8365	
sisRNA:CR46359	129	105	71	172	119	114	97	
Srpk79D	2266	2192	1487	2489	2062	2105	1542	
asRNA:CR45960	2	3	3	0	1	1	0	
Hem	5714	5418	3558	5753	5073	5866	4585	
IleRS	8456	8583	5474	9719	8100	9818	8261	
Ten-m	25246	26584	15548	27412	22507	26288	19037	
CG32450	0	2	0	2	5	2	1	
lncRNA:CR45963	6	1	1	4	1	3	1	
lncRNA:CR45962	49	43	18	41	36	49	32	
lncRNA:CR45964	4	2	2	3	6	4	2	
lncRNA:CR45965	3	1	1	0	2	5	1	
lncRNA:CR45237	0	1	0	1	2	1	0	
lncRNA:CR45966	0	0	0	0	1	0	0	
CG11449	1	0	0	2	0	0	0	
laza	22	35	13	17	21	7	19	
CG11438	1095	1142	462	1272	1074	1296	1241	
CG11437	14	13	12	36	21	28	17	
CG11426	1263	1034	699	1171	990	1037	1064	
lncRNA:CR45382	8	13	2	7	7	6	9	
CG11425	883	767	461	794	713	693	757	
lncRNA:CR45430	1	1	0	0	0	1	0	
lncRNA:CR45431	0	0	0	1	0	0	0	
CG43312	0	1	0	0	0	0	0	
CG43331	0	0	1	2	0	0	0	
CG43330	0	1	0	1	0	0	0	
CG43329	0	0	0	0	2	0	1	
lncRNA:CR45429	1	0	0	0	0	1	0	
mir-957	0	0	0	0	0	0	0	
CG11404	0	2	1	1	1	0	4	
Trxr-2	1	0	3	0	0	1	0	
lncRNA:CR46348	56	48	35	56	30	47	32	
CG14459	161	161	88	163	140	160	109	
ND-B14.5AL	0	0	0	1	0	0	0	
lncRNA:CR45967	0	1	1	0	0	0	0	
lncRNA:CR45381	1	0	0	0	4	2	5	
CG33766	0	0	0	0	0	0	0	
CG33767	0	0	0	0	0	1	0	
CG33768	0	0	0	0	0	0	0	
CG33769	1	0	0	0	0	0	0	
CG33770	0	0	0	0	1	0	0	
CG33771	0	0	0	0	0	0	1	
CG33772	1	0	0	0	1	0	0	
lncRNA:CR43270	1	0	0	1	0	0	1	
mir-958	0	0	0	0	0	0	0	
CG14457	3	13	3	7	8	8	4	
CG14455	1	2	1	4	0	4	1	
CG14456	3	22	6	16	31	32	7	
CG14454	0	0	0	0	0	0	0	
CG12546	0	0	0	0	0	0	0	
CG14453	1	0	0	0	0	0	0	
CG14452	0	0	0	0	0	0	0	
CG32453	0	0	0	0	0	0	0	
CG45116	2	4	6	1	0	5	1	
lncRNA:CR46227	0	0	1	0	1	1	0	
CG11370	4738	8707	2978	6596	5382	11314	2713	
ArfGAP3	6032	6592	3526	6949	5550	7210	5671	
CG32452	1359	1389	857	1456	1312	1432	1363	
mael	115	113	73	387	353	354	367	
CG14451	26	14	8	19	17	24	19	
CG14450	469	490	323	562	489	509	435	
CG11367	400	398	215	450	391	428	352	
CG32454	49	47	30	56	41	69	54	
CG11241	321	334	201	254	255	320	251	
l(3)04053	1406	1450	929	1556	1299	1524	1242	
asRNA:CR45163	0	0	0	0	0	0	0	
CG7369	4651	4438	2975	5022	4306	5065	4231	
SPoCk	9145	9714	5752	10359	8473	9887	8083	
lncRNA:CR45961	21	10	11	14	9	16	6	
CG14448	5	2	1	1	4	4	4	
jim	24645	24061	16803	26289	21580	26390	15436	
CG45428	1	0	1	2	1	0	2	
CG11226	3	9	2	5	6	9	2	
lncRNA:CR45659	40	43	22	36	36	27	23	
tRNA:Leu-CAG-1-8	1	0	0	2	1	2	2	
tRNA:Glu-CTC-4-1	0	1	0	0	0	0	0	
asRNA:CR43426	62	50	51	36	37	38	34	
CG32462	0	1	0	0	1	1	0	
CG32459	5	15	14	13	9	12	5	
CG13239	17	14	8	13	12	30	12	
CG33169	308	336	199	338	291	320	247	
CG33170	897	782	643	947	840	920	870	
CG11137	2444	2249	1294	2660	2471	2644	2480	
Arf79F	29382	32429	18974	34136	28157	35702	30729	
snoRNA:Me28S-G764	4	6	1	6	5	5	4	
asRNA:CR45969	17	14	8	14	19	11	16	
CG11109	75	58	36	68	62	53	64	
asRNA:CR45968	0	0	0	0	0	0	0	
Chro	13313	13206	8545	14398	12577	14716	12433	
Ssl1	884	866	521	896	798	856	789	
asRNA:CR45970	0	0	0	0	0	0	0	
slif	185	232	151	296	246	437	253	
lncRNA:CR44688	1	0	0	0	1	0	0	
lncRNA:CR44689	0	0	0	0	0	0	0	
CG11131	29	0	0	43	24	199	53	
BoYb	35	36	12	15	21	21	19	
lncRNA:CR45661	4	1	3	2	4	3	2	
CG12768	1619	1539	969	1505	1457	1542	1187	
mir-9388	1	2	0	0	1	1	2	
Mes2	2203	2241	1286	2307	1896	2195	1934	
CG32461	2	1	0	1	3	3	2	
lncRNA:CR45758	74	63	61	69	54	67	52	
CG32457	0	0	0	0	1	0	1	
nrm	3357	3164	2415	3249	2713	3133	2272	
RpL10	92220	85121	56468	92110	86005	95039	89633	
CkIIalpha	10434	10919	7188	11750	9990	12362	11083	
CG33217	1122	1246	685	1388	944	1019	936	
CR41454	55	66	21	91	52	59	51	
Vps11	1398	1498	903	1611	1128	1018	1020	
asRNA:CR45164	1	1	2	0	0	0	2	
CG34031	1	0	0	1	9	4	2	
lncRNA:CR43967	0	0	3	2	1	1	1	
lncRNA:CR45735	0	0	0	0	0	1	0	
nAChRalpha4	1502	1302	1079	1556	1208	1277	1105	
alpha-Cat	12389	12607	9238	14246	12052	14347	12046	
mir-4942	0	0	0	0	0	1	0	
ND-MLRQ	4201	4259	2635	4591	4133	4763	4480	
AGO3	82	66	59	65	91	74	58	
lncRNA:CR45174	39	40	27	31	28	27	15	
CG17454	2296	2415	1694	2692	2281	2777	2468	
CG40298	5	4	4	4	1	3	0	
lncRNA:CR45736	1	1	1	0	0	1	0	
CG17698	2992	2948	2401	3199	2696	2934	2713	
CG43968	0	5	0	5	6	2	7	
CG40470	967	817	829	888	844	865	870	
lncRNA:CR43941	3	3	0	2	0	3	1	
lncRNA:CR43942	0	0	1	0	0	0	0	
lncRNA:CR40053	0	0	0	0	0	2	0	
CG40045	6932	6940	5174	7360	6468	7569	6967	
Snap25	1148	896	682	971	823	863	839	
lncRNA:CR45159	4	0	2	5	2	2	3	
nvd	989	1337	822	805	721	991	884	
CR12460	45	32	14	34	23	40	27	
mRpS5	1425	1563	942	1586	1295	1460	1341	
CR42722	92	102	114	105	104	155	164	
CR42723	65	50	12	29	32	27	14	
CR41597	88	104	47	59	51	52	67	
scro	2341	2585	1858	3090	2746	3364	2879	
CG40472	424	473	255	412	325	371	315	
ND-AGGG	1266	1188	976	1365	1129	1276	1536	
Set1	6410	5990	4807	6636	5837	6754	5460	
MED21	1754	1662	1133	1950	1658	1921	1859	
UQCR-11	4262	4035	3002	4542	4163	4328	4155	
CR40354	53	52	45	64	53	63	42	
CG45782	61	36	43	56	47	38	34	
CR40450	11	19	9	11	7	6	8	
lncRNA:CR45180	14	10	8	15	11	7	7	
FASN3	1289	1147	912	346	302	693	130	
CG40178	3203	3084	2452	3385	2870	2973	2851	
asRNA:CR45182	4	7	1	0	1	6	4	
CR41320	2	3	2	2	3	2	1	
CG40160	5528	5590	3969	5134	4437	5281	4940	
CG41284	2	1	1	2	1	1	1	
CG42598	77	86	42	69	56	71	48	
CG40228	2715	2704	1869	3086	2839	2773	2600	
lncRNA:CR45177	60	47	32	56	56	64	54	
lncRNA:CR46252	8	2	1	4	2	4	2	
lncRNA:CR45181	33	17	20	8	10	16	13	
vtd	5543	5176	4159	5820	5318	6405	5311	
CR43170	0	1	1	0	0	0	0	
RpL15	58678	61934	43118	59192	53360	66546	61807	
snoRNA:Me18S-C419	15	19	5	11	12	16	13	
Dbp80	6266	5775	3998	7091	6403	7602	6703	
lncRNA:CR46250	7	15	3	4	3	8	3	
eIF4B	103	110	91	146	113	125	123	
CR14578	0	2	1	2	0	1	0	
CG17514	16538	16759	12919	17644	14680	16459	14154	
CG45781	311	259	223	319	290	274	282	
CG46302	17	13	10	35	14	21	14	
CG40498	1648	1403	1082	1610	1473	1473	1239	
lncRNA:CR41257	19	14	11	16	10	30	32	
rl	3636	3819	2609	4056	3470	3848	3665	
CR42653	122	107	64	99	99	119	136	
CR40190	765	573	402	746	620	799	743	
CG40191	4752	4915	3024	5033	4318	5041	4628	
Yeti	6336	6871	4043	7012	6043	7544	6531	
lncRNA:CR44042	118	188	124	109	72	103	86	
l(2)41Ab	272	296	196	252	187	198	198	
lncRNA:CR44043	436	400	223	20	23	27	11	
Maf1	5233	5379	3712	5899	4883	5491	5160	
CG17691	4833	4564	3240	5027	4407	5289	4820	
CR40068	0	0	0	0	0	0	0	
CG41520	573	429	388	373	380	432	351	
CR41379	13	22	8	16	15	16	18	
CG17684	694	620	505	667	575	656	588	
CR40100	3	0	0	0	1	1	0	
MFS17	2339	2347	1602	2987	2592	2847	2463	
mir-2279	0	0	0	7	7	11	2	
CG41378	1324	1325	869	1109	980	1097	1059	
Scp1	14	13	8	8	8	8	10	
dpr21	766	606	592	666	633	630	575	
CR41243	0	0	0	1	0	0	0	
CG41242	0	0	0	0	0	0	0	
CR45227	1	1	0	2	0	2	1	
CR41501	4	6	3	4	7	7	3	
CR40461	0	1	0	0	0	0	0	
RYa	0	1	0	2	1	1	1	
uex	5193	5326	3661	5240	4366	5037	4670	
asRNA:CR45139	0	0	0	0	0	0	0	
Haspin	2544	2678	1970	2971	2618	2966	2672	
CG17683	4622	4687	2859	4990	4253	4922	4593	
RNASEK	3202	3334	1907	3430	2677	2545	2570	
IntS3	5287	5163	3895	6132	5465	6136	5600	
Gprk1	4198	4128	3313	5535	5287	6472	5526	
lncRNA:CR44100	0	0	0	1	0	1	0	
RpL38	26521	23578	18049	26494	24400	25228	24045	
Stlk	1988	2104	1472	2218	1783	1913	1704	
p120ctn	10371	10562	7398	10826	9564	10927	10230	
CG17486	2379	2269	1687	2959	2558	2792	2646	
lncRNA:CR45923	83	85	74	64	40	35	49	
CG17883	4794	4817	3335	5600	4876	5632	5044	
Nipped-B	12883	12691	9682	15892	13047	15101	12404	
CR40282	0	0	0	1	0	2	0	
lncRNA:CR45471	0	0	1	3	1	1	0	
CR41440	8	12	10	13	13	21	10	
conu	4727	4698	3109	6029	5255	6123	5221	
CR43281	2	1	0	0	2	3	4	
lncRNA:CR46064	983	868	712	744	625	694	672	
CG12547	5576	5537	4163	5996	5239	5852	5708	
CG17528	6769	6763	4347	7861	6559	7898	7077	
CG14464	2262	2304	1471	2367	2015	2020	1944	
CG44102	17	17	6	27	19	42	33	
Ir41a	34	24	11	23	21	44	20	
lncRNA:CR44105	3	2	0	0	0	0	0	
TpnC41C	0	5	0	4	1	6	2	
CR43360	5	1	4	2	0	0	0	
CG3107	7114	6791	5442	7264	6318	7135	6853	
gus	6530	6826	4558	7120	6028	7028	6499	
lncRNA:CR43256	120	118	71	57	60	53	69	
Atf6	3565	3786	2517	4117	3329	3743	3215	
Nipped-A	15397	14756	11866	17426	14220	16817	14634	
lncRNA:CR41443	2	1	1	3	5	4	6	
d4	5204	5211	3543	5877	4946	5933	5336	
sxc	8964	8731	5957	9026	8182	10315	9086	
CG10465	3550	3535	2399	3672	3303	3839	3441	
CG10395	1182	1134	872	1228	1053	1285	1124	
CG30441	20	16	13	10	8	9	16	
COX4L	4	3	4	7	9	11	6	
CG10417	9678	9741	6850	11288	9724	10954	9979	
lncRNA:CR42646	56	36	28	58	83	72	60	
stw	1290	1499	692	1899	1505	1843	1420	
CG30440	4214	4538	3099	4424	3727	4549	3928	
CG30438	126	163	83	139	105	144	94	
TpnC4	0	3	0	1	1	1	1	
Fis1	3138	3130	2109	3154	2756	3229	2986	
CG17508	2992	3047	2146	3178	2755	3117	2986	
CG11665	4426	4381	2631	4638	3932	4963	4557	
CG1344	3434	3427	2432	3780	3274	3899	3434	
Not3	12798	12995	8237	14329	12132	14897	12444	
lncRNA:CR45472	87	47	40	87	67	83	59	
CG8245	790	692	598	825	728	778	732	
kune	4897	4847	2705	5466	4656	5261	4795	
scaf	1607	1820	922	2374	2079	2432	1835	
CG17337	5114	5316	3300	5351	4548	5648	5296	
vlc	5533	5496	3720	6799	5826	6042	5151	
ap	7855	8169	4591	6636	5645	6677	5147	
l(2)09851	3461	3322	1970	4057	3398	3799	3439	
CG34200	1290	1109	800	1249	1310	1236	1257	
CG7791	2114	2026	1255	2305	1843	2218	1995	
Gp210	16985	16216	10961	18833	16086	18356	15420	
scaRNA:PsiU2-35.45	0	0	0	1	0	2	0	
ZnT41F	1433	1642	840	1523	1177	1414	1274	
Or42a	3	0	0	5	4	3	0	
Tsp42A	0	0	1	1	2	0	0	
Or42b	5	0	2	4	3	3	3	
dpr12	2919	2677	1855	2761	2445	2647	1938	
CG44438	11	11	4	3	1	6	2	
lncRNA:CR44125	2	5	3	1	1	1	0	
CG43366	2139	3383	1044	2279	1852	2001	1165	
lncRNA:CR44126	0	0	0	0	0	1	0	
asRNA:CR46269	0	0	0	0	0	1	0	
CG7882	2	28	1	4	1	6	13	
CG7881	6	7	3	8	7	2	29	
lncRNA:CR44127	25	17	9	17	32	23	26	
BubR1	5060	4611	3278	5427	4824	5479	4721	
mle	7508	7100	4464	8132	6936	8025	6512	
Src42A	13938	14604	8738	16900	13971	16292	13010	
Act42A	72043	80959	40026	70735	59363	72205	60480	
Pngl	4304	4232	2498	4488	3977	4699	4080	
Strica	288	344	128	412	302	339	320	
SCAP	5299	4935	3146	4183	3563	4124	3693	
CG14591	1060	944	673	1050	916	1124	1009	
Tbce	2745	2794	1568	2812	2533	3210	2760	
asRNA:CR44130	1	1	3	3	0	0	0	
CG34211	0	0	0	0	0	0	0	
CG34212	0	1	1	0	0	0	1	
CCHa2-R	228	181	91	232	207	207	178	
CG7856	1	7	2	9	3	2	5	
lncRNA:CR44131	2	1	1	1	0	2	2	
l(2)k09848	2043	1881	1119	2163	1998	2342	2173	
CG7849	388	361	202	370	358	449	392	
SmydA-5	35	42	21	37	36	42	51	
Ars2	12163	12044	8190	14691	12817	14077	11297	
EcR	7987	7413	5071	7531	6376	7905	6594	
CG14589	16	17	14	16	15	10	17	
tRNA:Arg-ACG-1-1	1	0	0	1	0	0	1	
tRNA:Lys-CTT-1-1	2	0	0	0	1	0	1	
tRNA:Asn-GTT-1-1	0	0	0	0	0	0	0	
tRNA:Asn-GTT-1-2	0	0	0	0	0	0	0	
tRNA:Asn-GTT-1-3	0	0	0	0	0	0	0	
lncRNA:CR43904	3	1	3	4	5	5	0	
tRNA:Arg-ACG-1-2	0	0	2	0	0	0	0	
tRNA:Asn-GTT-1-4	0	0	0	1	0	0	0	
tRNA:Asn-GTT-1-5	0	0	0	0	0	0	0	
tRNA:Asn-GTT-1-6	0	0	1	0	0	1	0	
tRNA:Lys-CTT-1-2	0	0	0	0	0	0	0	
tRNA:Lys-CTT-1-3	0	0	0	0	0	0	0	
tRNA:Lys-CTT-1-4	1	0	1	0	0	1	0	
tRNA:Ile-AAT-1-1	1	1	0	0	1	1	1	
tRNA:Arg-ACG-1-3	0	0	0	0	0	0	0	
tRNA:Lys-CTT-1-5	0	0	0	0	0	0	0	
tRNA:Arg-ACG-1-4	0	0	0	0	0	0	0	
Cyp6w1	13	1	1	1	1	1	5	
tRNA:Arg-ACG-1-5	0	0	0	0	0	1	0	
CG8343	0	3	0	0	0	0	0	
CG11211	1	4	1	0	3	1	0	
Ptr	1795	1562	1049	1536	1381	1550	1328	
tRNA:Asn-GTT-1-7	0	0	0	0	0	0	0	
tRNA:Asn-GTT-1-8	0	0	0	0	0	0	0	
CG30432	2	1	0	3	0	1	3	
eIF3f2	3	2	1	3	0	1	0	
CG30431	17	23	3	26	18	9	11	
CG17994	6	10	12	16	11	10	14	
l(2)k14710	2069	1967	1278	2219	1858	2154	1764	
bin3	8044	8094	5077	8361	6942	8278	6909	
lncRNA:CR44161	12	12	8	9	13	10	5	
tomboy40	22	19	17	25	21	20	16	
Pld	2347	2426	1484	2675	2247	2614	2029	
lncRNA:CR46075	11	8	5	12	10	9	5	
jing	12996	13588	7858	13816	11814	13933	9181	
lncRNA:CR45127	1	3	1	2	3	3	2	
lncRNA:CR43905	0	2	0	1	0	0	0	
CG15233	5	7	3	16	11	15	7	
sisRNA:CR46361	2	2	1	0	1	3	1	
CG33919	1	0	0	4	2	8	1	
Vha16-1	32109	34696	20792	35615	29475	35800	32271	
Trap1	2875	2734	1810	3130	2637	2871	2490	
Bap170	7073	6840	4408	7660	6726	7502	5790	
Fmo-2	66	59	55	88	87	105	77	
Debcl	1774	1575	896	1640	1442	1826	1512	
Opbp	1164	1189	737	1247	1082	1233	1051	
geminin	5491	5146	3094	5645	4889	5701	5240	
sced	1745	1667	1108	1772	1556	1832	1505	
Dpit47	3294	3118	1913	3700	3234	3710	3317	
Adf1	5182	5621	3119	5640	4832	5660	4897	
lncRNA:CR45128	14	15	7	20	14	12	9	
CG15908	334	307	167	387	311	407	346	
CG9410	384	411	215	402	370	436	433	
Hsepi	2062	2182	1355	1836	1608	1945	1611	
PGAP3	1115	1045	580	966	850	928	850	
CG17266	1291	1251	660	1269	1128	1196	1133	
CG9422	1351	1229	718	1280	1166	1374	1322	
Tdc1	102	88	48	137	148	129	131	
lncRNA:CR44164	3	1	1	4	3	3	3	
asRNA:CR44165	4	2	1	1	3	2	1	
CG15909	9	10	10	9	11	4	11	
Tdc2	135	85	62	113	78	97	74	
CG3270	116	167	86	175	115	92	150	
Mob4	7029	6969	4341	7600	6677	7656	6755	
Rab2	5479	5782	3840	6142	5297	6366	5191	
chk	0	0	0	0	0	0	0	
CG45092	0	0	0	0	0	0	0	
mir-4975	0	2	1	1	0	0	0	
lncRNA:CR43611	2	3	2	6	5	2	4	
Zip42C.1	2	0	0	1	1	0	1	
Zip42C.2	0	0	0	1	0	0	0	
l(2)01289	412	335	253	753	662	767	520	
phtf	2396	2432	1628	2526	2091	2410	1972	
Mccc2	1303	1298	804	1188	1019	1213	1097	
Eb1	18337	19675	11972	20530	17471	21443	18363	
CG3420	1258	1261	750	1321	1212	1409	1301	
CG9436	1352	1512	684	1666	1314	1722	1478	
Epac	1481	1274	808	1414	1124	1213	1008	
Cyp6a2	58	35	17	6	1	6	4	
SdhB	4490	4439	2479	4489	3763	4510	3821	
CG15237	1308	1345	870	1313	1224	1362	1266	
ubl	1026	985	700	1116	1015	1170	1079	
koi	6051	5643	3705	6164	5547	6335	5030	
lncRNA:CR44442	49	48	17	3	1	1	3	
CG15236	4701	3936	2715	3354	2693	3041	2164	
CG34215	119	162	37	20	15	18	16	
mir-4976	0	0	0	0	0	0	0	
CG9445	4	3	0	0	0	0	3	
lncRNA:CR44166	0	0	0	2	0	1	0	
coro	6935	7076	4535	7458	6523	7573	6485	
CG9447	35	34	17	46	18	36	21	
asRNA:CR44169	0	0	1	0	0	2	1	
Spn42Da	2862	3275	1655	2618	2260	2598	2424	
Spn42Db	23	24	32	21	18	21	16	
Spn42Dc	158	205	108	123	75	92	119	
Spn42Dd	95	229	64	96	74	82	77	
Spn42De	168	171	113	174	163	201	167	
CG30158	526	425	319	481	388	427	368	
CG3358	1262	1289	824	1212	1085	1174	970	
mim	8284	8273	4887	9096	7289	8188	5396	
CheB42b	4	2	3	1	2	2	1	
CheB42c	36	37	24	37	36	28	34	
tRNA:Lys-CTT-1-6	0	0	1	1	0	0	0	
tRNA:Lys-CTT-1-7	0	0	0	0	0	0	1	
tRNA:Lys-CTT-1-8	1	0	0	0	2	0	1	
tRNA:Lys-CTT-1-9	1	0	1	0	1	1	0	
CheB42a	2	1	0	3	1	2	1	
ppk25	4	2	1	8	5	5	2	
Cyp6u1	1095	922	626	1126	999	1052	1030	
CG30157	108	108	51	133	114	130	121	
vimar	4731	5058	3066	6037	5051	5977	4607	
lncRNA:CR44170	21	23	6	29	17	21	8	
lncRNA:CR44171	16	17	6	19	16	16	11	
CG30156	165	184	123	225	200	206	159	
CG17002	2455	2327	1312	2405	2053	2452	2072	
Tsp42Ea	1238	952	610	551	520	409	343	
CG30159	2797	2500	1727	2670	2280	2531	2429	
Tsp42Eb	4	8	4	3	2	8	5	
CR42785	1	2	0	1	1	0	1	
CG30160	4	12	9	4	4	7	5	
Tsp42Ec	60	17	3	42	44	18	20	
Tsp42Ed	77	146	46	100	79	122	128	
Tsp42Ee	17199	16078	10640	16375	14173	16879	15329	
CG43646	3	5	2	26	22	38	32	
CG43647	9	16	4	30	20	20	16	
lncRNA:CR44172	30	39	16	34	26	35	30	
Tsp42Ef	2551	2313	1460	2144	2050	2197	2016	
Tsp42Eg	38	24	19	28	38	38	39	
Tsp42Eh	23	25	15	28	34	37	8	
Tsp42Ei	86	81	27	81	79	82	69	
CG33914	109	72	69	92	107	94	83	
CR12842	109	102	59	68	69	81	68	
Tsp42Ej	627	649	317	612	517	663	554	
Tsp42Ek	338	953	148	339	289	441	454	
Tsp42El	558	581	393	516	439	617	507	
lbm	395	367	215	382	359	394	335	
Tsp42En	13	13	7	11	6	8	6	
Tsp42Ep	184	631	114	190	164	276	301	
Tsp42Eo	0	0	0	0	0	0	0	
Pgant3	2313	2337	1277	2574	2147	2612	2277	
Tsp42Eq	6	10	12	11	6	3	13	
Tsp42Er	17	41	30	28	11	15	19	
CG12836	5	2	4	5	1	5	2	
tRNA:Thr-AGT-2-1	1	0	0	0	1	0	0	
CG12831	4	3	0	4	4	3	5	
tRNA:Thr-AGT-1-2	0	0	0	0	0	0	0	
esn	6773	6918	3810	7234	6030	7258	5805	
Cyp9b1	11	10	3	6	3	12	7	
Cyp9b2	140	189	54	60	65	78	94	
lncRNA:CR44443	5	3	4	2	6	4	4	
Spn43Aa	10907	15812	5443	14029	11472	15409	11105	
CG12828	1	0	0	0	0	2	0	
lncRNA:CR44200	0	0	0	0	0	0	0	
pk	8278	8492	4492	8668	7411	8747	6851	
Spn43Ab	186	153	80	77	79	116	88	
Spn43Ad	5	4	2	2	8	9	4	
nec	239	392	102	145	126	173	143	
CG11060	9	11	13	3	5	7	4	
CG33140	3	4	2	2	4	4	6	
CG30385	2	3	1	1	1	3	1	
CG30384	8	5	1	1	3	4	0	
Or43a	0	1	0	0	0	1	0	
Ady43A	1026	1038	550	3260	2779	3040	3057	
Gadd45	762	883	424	1177	872	1044	1158	
lncRNA:CR45280	0	0	0	1	2	1	0	
CG1850	144	132	78	49	44	59	44	
Br140	3390	3341	2070	3790	3099	3669	3134	
Incenp	8991	8320	5322	9856	8708	9782	8553	
pwn	6007	5342	3861	5201	4313	4607	3802	
CG12164	45	25	27	52	44	34	16	
Dscam1	15331	14784	9835	15781	12623	13093	8448	
asRNA:CR45129	14	25	16	17	14	20	9	
asRNA:CR44071	0	0	0	0	0	0	0	
cos	4999	5117	2940	5603	4633	5734	4853	
Dhx15	8776	8470	5047	9267	8128	9161	8053	
Gr43a	10	11	5	10	9	10	7	
Glo1	2007	1932	1056	2028	1841	2031	1924	
asRNA:CR44201	1	3	2	10	7	4	6	
Eaf	3057	3262	1982	3665	3158	3578	2589	
CG11112	6	11	3	10	3	6	3	
CG11113	7	3	4	15	5	6	5	
CG43123	4	15	6	11	8	9	13	
CG43267	4	8	2	10	6	5	1	
mir-4977	0	0	0	0	0	0	0	
CG1701	0	0	0	2	0	0	0	
so	2045	2164	1236	2280	2047	2428	2007	
lncRNA:CR44202	4	3	4	2	1	0	1	
CG11145	12	15	6	18	13	24	18	
lncRNA:CR44203	13	9	4	14	14	14	8	
lncRNA:CR44204	25	24	12	23	21	19	11	
CG11123	2109	1931	1214	2002	1737	1931	1679	
sPLA2	132	151	78	125	115	156	133	
CG30503	0	0	0	0	0	0	0	
kappaB-Ras	0	0	0	0	0	0	0	
fa2h	0	0	2	1	0	0	0	
CG11125	346	252	253	300	301	314	284	
lncRNA:CR45320	0	0	0	0	0	0	0	
Inos	8894	8984	5064	8415	6877	7520	7392	
CG11141	1402	1489	895	1472	1293	1465	1354	
CG11127	2118	1915	1156	1864	1725	2052	1876	
p47	6221	5969	3122	6854	5826	6759	6074	
Aldh-III	6500	6151	3873	7063	5976	6618	5918	
wech	7432	7101	5135	8159	6903	8022	5874	
Coop	4910	4703	2613	4814	4239	4611	4062	
asRNA:CR43723	184	185	114	203	173	170	158	
CG1620	5807	5762	3430	6103	5141	6068	5351	
dpa	7048	6496	4226	7016	6310	7019	6361	
didum	4137	3932	2796	4969	4265	4491	3324	
mEFTu2	1176	1172	672	1018	951	1143	1055	
az2	1015	989	658	1137	970	1133	915	
CG1603	1124	1140	710	1306	1118	1315	1189	
CG1602	534	511	319	620	548	662	543	
PIG-G	2489	2390	1403	2412	2159	2569	2216	
Orc1	1434	1227	817	1525	1276	1534	1298	
Drat	9883	8982	6372	10154	9237	10053	8033	
lncRNA:CR44209	0	0	1	0	1	1	0	
Cyt-b5	5806	5768	3487	6196	5562	6532	5832	
Gpo2	24	21	12	20	17	22	11	
CG1598	2693	2592	1551	3109	2597	3112	2717	
Corin	1670	1316	949	1349	1169	1173	1005	
CG30499	3050	2888	1691	3295	2898	3221	3032	
boca	3212	2942	1735	3330	2883	3397	2898	
Vps13	9274	9088	6286	10134	8446	9376	6950	
asRNA:CR45130	0	0	0	0	0	0	0	
blow	6224	6109	3320	6362	5320	6597	5521	
CG1360	406	393	321	427	383	419	304	
scra	13090	12412	7790	14295	12047	13986	11296	
CG1358	721	583	461	592	527	571	417	
lncRNA:CR44444	4	4	3	3	3	1	5	
CG43340	1285	1444	839	1400	1151	1428	983	
asRNA:CR45131	36	47	43	34	24	34	32	
CG43341	0	0	0	0	0	0	0	
CG17985	766	843	481	891	721	896	833	
Rpt1	12124	12231	6643	13765	11717	13861	12135	
CG30491	660	633	372	671	619	680	596	
CG30495	234	197	134	243	206	170	156	
CG1339	11	6	6	4	3	5	2	
CG2070	6	7	8	14	11	59	1	
CG2065	28	26	24	53	52	70	75	
CG2064	813	778	521	690	588	749	748	
DCTN4-p62	1376	1369	830	1480	1289	1573	1351	
CG12826	1	0	3	6	2	5	0	
mRpL52	1050	1031	549	1150	982	1145	1036	
CG12107	1600	1627	926	2075	1682	1991	1805	
U2A	1854	1630	977	2113	1812	2006	1701	
LRR	10314	10953	6423	11393	9289	10721	7952	
CG30493	476	468	303	554	488	546	471	
CG30496	1250	1247	741	1340	1129	1340	1069	
CG34216	15	6	8	14	8	12	9	
tor	172	169	111	123	116	140	127	
CG1941	15	15	6	79	50	58	37	
mir-4909	0	0	0	0	0	0	0	
CG1942	14	0	0	5	1	7	2	
CG1946	0	0	0	0	0	1	0	
CG18812	3925	4496	2333	5402	4260	4323	3446	
CG45093	0	0	0	0	0	0	0	
CG30497	0	0	0	0	0	0	0	
cn	2	3	3	3	2	1	1	
asRNA:CR45108	7	1	1	5	3	6	5	
CanB2	3438	3635	2194	3917	3205	4150	3600	
mir-4980	1	1	1	1	2	0	0	
CG12825	103	106	58	65	48	55	113	
CG12824	14	40	42	26	22	17	37	
Gapdh1	15684	15073	7749	16539	15103	18976	17523	
mus205	1435	1369	863	1784	1552	1844	1418	
Nop17l	5387	5938	3517	6355	5191	6265	5049	
sax	3645	3638	2227	3903	3450	4059	3431	
TTLL12	2277	2223	1330	2399	1984	2309	2204	
